image_size,block_size,comp_time
7680,32,760098
7680,32,756247
7680,32,760475
7680,32,759714
7680,32,758465
7680,32,756995
7680,32,760569
7680,32,758466
7680,32,759884
7680,32,760410
7680,32,760416
7680,32,771063
10240,8,1398527
10240,8,1377017
10240,8,1366140
10240,8,1377791
10240,8,1366633
10240,8,1371388
10240,8,1373533
10240,8,1370341
10240,8,1399828
10240,8,1415630
10240,8,1365791
10240,8,1384138
10240,8,1363919
10240,8,1383033
10240,8,1364234
10240,8,1371906
10240,8,1381614
10240,8,1364615
10240,8,1370096
10240,8,1375054
10240,8,1411918
10240,8,1396099
10240,8,1374608
10240,8,1382500
10240,8,1375534
10240,8,1379361
10240,8,1379321
10240,8,1383448
10240,8,1363752
10240,8,1368702
10240,16,1351286
10240,16,1339080
10240,16,1346895
10240,16,1366279
10240,16,1344658
10240,16,1345911
10240,16,1341429
10240,16,1349576
10240,16,1370588
10240,16,1348771
10240,16,1354225
10240,16,1345734
10240,16,1343854
10240,16,1333898
10240,16,1357992
10240,16,1357717
10240,16,1353543
10240,16,1355250
10240,16,1366674
10240,16,1349399
10240,16,1349117
10240,16,1351499
10240,16,1356951
10240,16,1366464
10240,16,1349018
10240,16,1353679
10240,16,1350901
10240,16,1349865
10240,16,1347762
10240,16,1344877
10240,32,1374751
10240,32,1376196
10240,32,1367966
10240,32,1385030
10240,32,1387981
10240,32,1384951
10240,32,1378951
10240,32,1387943
10240,32,1372655
10240,32,1378643
10240,32,1386916
10240,32,1384560
10240,32,1373817
10240,32,1386267
10240,32,1386613
10240,32,1383589
10240,32,1387947
10240,32,1385176
10240,32,1386790
10240,32,1377333
10240,32,1381508
10240,32,1389975
10240,32,1377691
10240,32,1395670
10240,32,1370007
10240,32,1382566
10240,32,1378242
10240,32,1383289
10240,32,1382152
10240,32,1378932
