image_size,block_size,comp_time
7680,32,142845
7680,32,142783
7680,32,142574
7680,32,142454
7680,32,142676
7680,32,142435
7680,32,142620
7680,32,142790
7680,32,142684
7680,32,142681
7680,32,142601
7680,32,142758
10240,8,1421886
10240,8,1415136
10240,8,1402763
10240,8,1414777
10240,8,1414855
10240,8,1417788
10240,8,1430482
10240,8,1411905
10240,8,1415489
10240,8,1415283
10240,8,1410459
10240,8,1418855
10240,8,1426380
10240,8,1397575
10240,8,1400833
10240,8,1421273
10240,8,1406474
10240,8,1419268
10240,8,1404365
10240,8,1407151
10240,8,1393285
10240,8,1411576
10240,8,1403088
10240,8,1414092
10240,8,1409161
10240,8,1417917
10240,8,1409480
10240,8,1403518
10240,8,1420698
10240,8,1416950
10240,16,625015
10240,16,625976
10240,16,625230
10240,16,626112
10240,16,625501
10240,16,626433
10240,16,625830
10240,16,635534
10240,16,625717
10240,16,629503
10240,16,624902
10240,16,625422
10240,16,624999
10240,16,640518
10240,16,627445
10240,16,625062
10240,16,625808
10240,16,625562
10240,16,625508
10240,16,634972
10240,16,626872
10240,16,626574
10240,16,625788
10240,16,625758
10240,16,627119
10240,16,628731
10240,16,626789
10240,16,626419
10240,16,626971
10240,16,627266
10240,32,307972
10240,32,313386
10240,32,307927
10240,32,308648
10240,32,308080
10240,32,307909
10240,32,307961
10240,32,308141
10240,32,308741
10240,32,318587
10240,32,307854
10240,32,308212
10240,32,308606
10240,32,307953
10240,32,310265
10240,32,307994
10240,32,307926
10240,32,311293
10240,32,308044
10240,32,308769
10240,32,307674
10240,32,307708
10240,32,308147
10240,32,309039
10240,32,307986
10240,32,307989
10240,32,312843
10240,32,307772
10240,32,308221
10240,32,308367
